frame,entity,x,y,z,vx,vy,vz,observed,cams_used,rmse
12,player_1,5395.074178491269,3035.1186190825547,-1161.5288239656397,-3136.1289622041163,306.23899747807525,909.1554412493379,1,2,2.713827601146988
12,referee_0,-3228.1113919175423,6094.208555456308,-124.5506883187029,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
12,player_2,5169.886081656358,1804.9959744437047,-126.63352360011172,0.0,0.0,0.0,0,0,nan
13,player_0,3313.405215632757,1821.3103687394569,-423.5128765350336,-3180.933058163584,-2713.9642649731486,883.2040067578359,1,2,0.9280502498425035
13,player_1,5269.629020003104,3047.368178981678,-1125.1626063156662,-3136.1289622041163,306.23899747807525,909.1554412493379,0,0,nan
13,referee_0,-3228.2966905879202,6094.252381420069,-124.56079655997205,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
13,player_2,5169.886081656358,1804.9959744437047,-126.63352360011172,0.0,0.0,0.0,0,0,nan
14,player_0,2269.0124517716786,2016.771770942933,-314.4492837743759,-5988.592623314209,-1783.277332333545,1108.9280039634264,1,2,2.5696983260591146
14,player_1,5144.18386151494,3059.617738880801,-1088.7963886656926,-3136.1289622041163,306.23899747807525,909.1554412493379,0,0,nan
14,referee_0,-3228.481989258298,6094.296207383829,-124.5709048012412,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
14,player_2,5169.886081656358,1804.9959744437047,-126.63352360011172,0.0,0.0,0.0,0,0,nan
15,player_0,2743.5815093453116,1194.9740187610846,-511.17879990983755,-3876.619228747316,-4002.766606715853,395.91937511382105,1,2,2.046385022228781
15,player_1,4908.072149770561,2554.3628671722718,-715.9913904731602,-3426.446675218358,-1051.3591081684663,1791.7539722642287,1,2,1.9713364690368083
15,player_2,8909.665350959542,6436.529498219147,-121.18328632774023,584.8072364762487,724.2551299534027,0.8522797651609257,1,2,2.7274456779801466
15,referee_0,-3228.667287928676,6094.340033347589,-124.58101304251035,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
16,player_0,3139.7010701419126,497.8634450277185,-673.8923442449445,-2314.569638231598,-5524.617724594677,-110.09002692785333,1,2,0.2559159986285622
16,player_1,6137.406385786497,3889.1182580534787,-471.9931274786415,359.3547086756371,2763.3059979067875,2269.2157298054176,1,2,0.890908354179446
16,referee_0,-3228.852586599054,6094.38385931135,-124.5911212837795,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
16,player_2,8933.057640418592,6465.499703417283,-121.1491951371338,584.8072364762487,724.2551299534027,0.8522797651609257,0,0,nan
17,player_0,3453.251743147465,-76.46296690706407,-796.4909495798513,-1216.5227450005184,-6479.933646050726,-429.6491632002411,1,2,0.49116262026580376
17,player_1,6947.57137712124,4822.311544867819,-305.4739110976012,2638.743611190489,5119.659519197294,2486.1886417176115,1,2,1.5517978719385628
17,player_2,4081.121258879758,2888.322138890376,489.1786592978075,-3962.9559067252962,-2639.6013447193627,570.141382163312,1,2,1.9158061599582747
17,referee_0,-3229.037885269432,6094.42768527511,-124.60122952504865,-4.632466759452546,1.095649093999458,-0.25270603172876055,0,0,nan
